Data,Product,Attributes
organic coffee beans,Coffee Bean,Organic
dried coffee beans,Coffee Bean,
dried green coffee beans,Coffee Bean,
dried cocoa beans,Cocoa Bean,Dried
cardamon seeds,,
palm almond flour,Flour,
dried cardamom,Cardamom,
sesame seeds,,
annatto seeds,,
dried lemon,Lemon,
black pepper powder,,
curry powder,,
red chili powder,,
turmeric powder,,
whole chick peas,,
whole red kidney beans,,
dried ginger,,
flour,Flour,
black pepper,,
white pepper,White Pepper,
cinnamon sticks,,
fresh bittergourd,,
fresh carrots,,
dried banana slices,Banana,Dried
dried jackfruit,Jackfruit,Dried
tapioca chips,Chips,
cashew nut kernels,Cashew Nut,
fresh dragon fruit,Dragon Fruit,
white rice grains,Rice,
fennel seeds,Fennel,
whole sesame seeds,,
whole ground nut,,
whole cumin seeds,Cumin Seed,Whole
fresh chili pepper,,
whole black pepper,,
dried chilli,,
quinoa,Quinoa,
chili powder,,
ginger powder,,
garlic powder,Garlic,Powder
moringga powder,,
whole turmeric,,
in shell gound nuts,,
whole cavendish bananas,Banana,Whole
whole husked coconuts,Coconut,
fully husked coconuts,Coconut,
Whole basil seed,Basil,Seed / Whole
diced yellow lemon,Lemon,Yellow / Diced
Java Roasted Coffee Bean,Coffee Bean,Java / Roasted
yellow lemons in plastic box,Lemon,Yellow / Plastic Box
cracked white Pepper Organic,White Pepper,Organic / Cracked
wooden box of sliced black garlic,Garlic,Wooden Box / Sliced / Black
